cover,미쁨 영단어.<break time='100ms'/>Foundation Basic
cover_t1,미쁨 영단어.<break time='100ms'/>Foundation Basic
cover_t2,미쁨 영단어.<break time='100ms'/>Foundation Basic
1_01_1,I sincerely apologize for the mistake. <break time='300ms'/> First Sentence. <break time='300ms'/> I sincerely apologize for the mistake.
1_01_2,Keyword. <break time='300ms'/> sincerely.<break time='300ms'/> <say-as interpret-as='characters'>sincerely</say-as><break time='100ms'/> sincerely.
1_01_3,"Sincerely means in a genuine and honest way, without pretending. Sincerely shows genuine feeling or expression. People notice a true and heartfelt manner. It is an adverb. For example, I sincerely hope you feel better soon means I truly and genuinely hope so. It is also commonly used at the end of formal letters before signing your name."
1_01_4,진심으로. 성실하게. <break time='300ms'/> sincerely. <break time='300ms'/> 진심으로. 성실하게. <break time='300ms'/> sincerely.
1_01_5,실수에 대해 진심으로 사과드립니다. <break time='300ms'/> I sincerely apologize for the mistake. <break time='300ms'/> 실수에 대해 진심으로 사과드립니다.
1_01_6,I sincerely apologize for the mistake.
1_01_7,실수에 대해 진심으로 사과드립니다.
1_02_1,I enclose the document in the letter. <break time='300ms'/> Second Sentence. <break time='300ms'/> I enclose the document in the letter.
1_02_2,Keyword. <break time='300ms'/> enclose.<break time='300ms'/> <say-as interpret-as='characters'>enclose</say-as><break time='100ms'/> enclose.
1_02_3,"Enclose means to include something inside a letter or package, or to surround something with a barrier. Enclose shows including inside or surrounding. People notice something included with a document or a surrounded area. It is a verb. For example, Please find the document enclosed with this letter means included inside the envelope along with the letter."
1_02_4,둘러싸다. 동봉하다. 포함하다. <break time='300ms'/> enclose. <break time='300ms'/> 둘러싸다. 동봉하다. 포함하다. <break time='300ms'/> enclose.
1_02_5,편지에 서류를 동봉했습니다. <break time='300ms'/> I enclose the document in the letter. <break time='300ms'/> 편지에 서류를 동봉했습니다.
1_02_6,I enclose the document in the letter.
1_02_7,편지에 서류를 동봉했습니다.
1_03_1,Please notify me if the schedule changes. <break time='300ms'/> Third Sentence. <break time='300ms'/> Please notify me if the schedule changes.
1_03_2,Keyword. <break time='300ms'/> notify.<break time='300ms'/> <say-as interpret-as='characters'>notify</say-as><break time='100ms'/> notify.
1_03_3,"Notify means to officially inform someone about something. Notify shows official informing. People notice being told something important in a formal way. It is a verb. For example, Please notify us if your address changes means officially inform us of the change so we have the correct information."
1_03_4,알리다. 통지하다. <break time='300ms'/> notify. <break time='300ms'/> 알리다. 통지하다. <break time='300ms'/> notify.
1_03_5,일정이 변경되면 알려주세요. <break time='300ms'/> Please notify me if the schedule changes. <break time='300ms'/> 일정이 변경되면 알려주세요.
1_03_6,Please notify me if the schedule changes.
1_03_7,일정이 변경되면 알려주세요.
1_04_1,I’m excited about the upcoming concert. <break time='300ms'/> Fourth Sentence. <break time='300ms'/> I’m excited about the upcoming concert.
1_04_2,Keyword. <break time='300ms'/> upcoming.<break time='300ms'/> <say-as interpret-as='characters'>upcoming</say-as><break time='100ms'/> upcoming.
1_04_3,"Upcoming means about to happen or arrive soon. Upcoming shows near future event. People notice something that has not happened yet but will soon. It is an adjective. For example, She is preparing for the upcoming exam means the one that will take place soon."
1_04_4,다가오는. 곧 있을. <break time='300ms'/> upcoming. <break time='300ms'/> 다가오는. 곧 있을. <break time='300ms'/> upcoming.
1_04_5,나는 다가오는 콘서트가 기대된다. <break time='300ms'/> I’m excited about the upcoming concert. <break time='300ms'/> 나는 다가오는 콘서트가 기대된다.
1_04_6,I’m excited about the upcoming concert.
1_04_7,나는 다가오는 콘서트가 기대된다.
1_05_1,We changed our plan accordingly. <break time='300ms'/> Fifth Sentence. <break time='300ms'/> We changed our plan accordingly.
